,title,company,place,salary,publish_time
0,催收组长（高薪+优厚福利））,深圳万融盛世企业管理咨询有限公司...,宁波-江北区,0.8-2万/月,11-26
1,电话催收组长,西安维骏金融服务外包有限公司,西安-莲湖区,0.8-1万/月,11-26
2,催收组长,佛山市恒鑫商务服务有限公司广州分...,广州-白云区,0.9-1.5万/月,11-26
3,催收组长,深圳市恒源昊信息科技有限公司长沙...,长沙-芙蓉区,0.8-1万/月,11-26
4,A电话催收组长+正规内催带组经验,深圳市汇合发展有限公司,武汉,6-8千/月,11-26
5,金融港催收组长6000六险一金双休,醒着梦企业策划咨询（武汉）有限责...,武汉-洪山区,6-8千/月,11-26
6,催收组长,智语企业管理咨询服务（重庆）有限...,重庆-渝北区,0.3-1万/月,11-26
7,高薪诚聘催收组长,湖南华威金安企业管理有限公司,西安-高新技术...,0.8-1万/月,11-26
8,催收组长,浙江申汇金融服务外包有限公司广州...,广州-荔湾区,0.8-1万/月,11-26
9,催收组长,广东五六七八信用管理有限公司,广州-白云区,0.7-1.5万/月,11-26
10,催收组长、主管、团队经理,深圳万乘联合投资有限公司福州分公...,福州-台江区,0.8-1万/月,11-26
11,催收组长（花桥）） (MJ000458),上海你我贷互联网金融信息服务有限...,苏州-吴中区,0.8-1.5万/月,11-26
12,催收组长,四川凯信商务咨询有限公司,成都-双流区,1-1.5万/月,11-26
13,催收组长（8k-15k/十三薪）,广州欢创劳务派遣有限公司,广州-越秀区,0.8-1.5万/月,11-26
14,催收组长,高柏（中国）企业管理咨询有限公司...,南京,1.5-2.5万/月,11-26
15,信用卡催收组长,沈阳汇隆商务信息咨询有限公司,沈阳-沈河区,0.7-1万/月,11-26
16,信用卡催收组长,广州嘉音讯通讯有限公司,广州-荔湾区,5-8千/月,11-26
17,催收组长,深圳市深创联金融服务有限公司长沙...,长沙-芙蓉区,0.6-1万/月,11-26
18,风控组长/催收组长（储备干部）,广东嘉诺投资有限公司,广州-天河区,6-8千/月,11-26
19,急招催收组长一名1.5W,武汉市凯信联银科技服务有限公司,武汉-洪山区,0.5-1.5万/月,11-26
20,催收组长,湖北金霖兴信用管理有限公司,武汉-东西湖区,0.5-1万/月,11-26
21,正式编制催收组长年薪12W+,西安杰创商务信息咨询有限公司,济南-历城区,1-1.5万/月,11-26
22,催收组长,佛山市南海民通信息咨询有限公司,深圳-宝安区,0.8-1.5万/月,11-26
23,催收组长,深圳凌然投资咨询有限公司,深圳-龙华新区,1-1.5万/月,11-26
24,催收组长,华睿信（北京）金融服务外包有限公...,东莞-南城区,0.5-1万/月,11-26
25,催收组长,大连博斯商务咨询有限公司,大连-高新园区,4-8千/月,11-26
26,诚聘催收组长/高薪,宁波湧鑫资产管理有限公司,宁波-海曙区,0.8-1万/月,11-26
27,催收组长,合肥中执商务咨询有限公司,合肥-蜀山区,0.6-1万/月,11-26
28,催收组长/主管,深圳市聚益信息科技有限公司,深圳-福田区,0.8-1.5万/月,11-26
29,漳州催收组长,泉州新奔腾投资咨询有限公司,漳州,0.8-1万/月,11-26
30,银行信用卡催收组长/主管,深圳市恒源昊信息科技有限公司,南京-玄武区,0.8-1.5万/月,11-26
31,催收组长,宁波正立企业咨询服务有限公司,宁波,0.8-1万/月,11-26
32,催收组长（五险一金）,CBC（北京）信用管理有限公司广东...,广州-白云区,0.4-1.2万/月,11-25
33,聘电话催收组长/主管（面谈定薪）,长兴建丰投资管理有限公司,上海-浦东新区,10-15万/年,11-25
34,催收组长,上海永嘉信风管理有限公司,北京,0.6-1.2万/月,11-25
35,催收组长,郑州信诺合商务信息咨询有限公司,郑州-金水区,6-8千/月,11-25
36,诚聘催收组长/主管(高薪1w+ 五险 高提成 ),武汉云兮智慧科技有限公司,武汉-江夏区,1-1.5万/月,11-25
37,电话催收组长,湖北省磐联科技服务有限公司,武汉-东湖新技...,1-1.5万/月,11-22
38,催收组长,合肥小海樽科技有限公司,合肥-包河区,0.8-1万/月,11-22
39,催收组长/主管,成都龙链大数据集团有限公司,杭州-下城区,1-1.5万/月,11-22
40,催收组长/主管,南京鸿智典信息科技有限公司,南京-雨花台区,0.8-1万/月,11-22
41,阿里业务催收组长/主管,深圳市恒源昊信息科技有限公司杭州...,杭州-滨江区,1-1.5万/月,11-22
42,银行催收组长/无夜班/住宿,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,0.8-1万/月,11-21
43,催收员+催收组长+催收主管,西安永辉资产管理有限公司,西安-未央区,0.8-1万/月,11-21
44,望城催收组长,湖南吴卓信息咨询有限公司,长沙-望城区,6-8千/月,11-21
45,初级催收组长,上海兴芝资产管理有限公司,武汉-江汉区,5-8千/月,11-20
46,高薪诚聘储备催收组长,律正投资管理（上海）有限公司,昆山,0.8-1万/月,11-19
47,催收组长/催收主管,陕西美安汽车服务有限公司,西安,0.8-1万/月,11-19
48,催收组长,北京互连众信科技有限公司,重庆-渝北区,1-1.5万/月,11-19
49,催收组长,上海唯渡网络科技有限公司,武汉-硚口区,0.8-1万/月,11-18
50,催收组长,深圳通联金融网络科技服务有限公司...,武汉-洪山区,6-8千/月,11-17
51,银行催收组长,深圳银雁数据科技有限公司,深圳,0.8-3万/月,11-15
52,催收组长,武汉赤侧商务咨询有限公司,武汉-洪山区,1-1.5万/月,11-15
53,催收组长,重庆海博商务信息咨询有限公司,重庆-南岸区,0.8-1万/月,11-13
54,电话催收组长,福州启联信息咨询有限公司广州分公...,广州-天河区,0.5-1.5万/月,11-07
55,信用卡催收组长,成都信鑫众企业管理咨询有限公司,成都-金牛区,1.5-2万/月,10-31
56,催收组长,成都法润商务服务有限公司,成都-高新区,1-1.5万/月,10-31
57,电话催收组长,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,0.6-1.1万/月,10-29
58,催收组长,深圳市恒源昊信息科技有限公司,南昌,0.6-1万/月,10-28
59,催收组长（急招）,广东金湾信息科技有限公司,广州-天河区,1-1.5万/月,10-23
60,五险一金/浑南区/催收组长,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,5-9千/月,10-21
61,催收组长,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,6-9千/月,10-21
62,消费金融催收组长,深圳万钧企业管理咨询有限公司,深圳-福田区,1-1.5万/月,10-16
63,催收组长,中汇信用管理（北京）有限公司,沈阳-大东区,4.5-6千/月,10-14
64,催收组长,苏州鼎九企业管理咨询有限公司,苏州-吴中区,0.6-1万/月,10-11
65,催收组长,佰赢（深圳）征信服务有限公司,深圳-福田区,0.8-1万/月,10-11
66,催收组长,信达利（福州）企业管理咨询有限公...,异地招聘,1-1.5万/月,10-06
67,催收组长,杭州梵奈思企业管理有限公司,杭州-萧山区,0.8-2万/月,09-30
68,中信银行催收客服专员/提供住宿/五险一金/月薪5K以上,深圳市喜瑞凯投资管理有限公司,深圳-福田区,0.6-1.2万/月,11-26
69,电话催收专员+急聘,鼎益信（深圳）投资控股有限公司,深圳-龙华新区,0.8-1万/月,11-26
70,电话催收无销售压力,上海浚汰商务咨询有限公司,异地招聘,0.8-1万/月,11-26
71,银行信用卡逾期管理员,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,0.8-1.3万/月,11-26
72,急招银行外呼客服+保险,济南昊舜律所金融后台服务外包有限...,深圳-龙岗区,10-15万/年,11-26
73,美资外企蚂蚁花呗客服专员,CBC（北京）信用管理有限公司苏州...,苏州,6-8千/月,11-26
74,银行呼叫中心客服专员,CBC(北京)信用管理有限公司江苏分...,南京,0.8-1万/月,11-26
75,美资+透明晋升+电话催收,CBC（北京）信用管理有限公司安徽...,合肥-政务区,0.6-1万/月,11-26
76,信贷催收专员 呼叫客服+包住,深圳市融泰商务服务有限公司,深圳-罗湖区,0.8-1万/月,11-26
77,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-26
78,建设银行五险一金账单提醒底薪4200,合肥雅诚电子科技有限公司,合肥-滨湖新区,4.5-6千/月,11-26
79,诚聘电话催收专员正常休假,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-26
80,法务催收专员/管理岗地铁口五险8-12K,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-26
81,中信电催客服(福田)保底4400,拓畅,深圳-福田区,0.5-1.2万/月,11-26
82,资产保全风险管理(众势信用),陕西东业机电科技有限公司,西安-高新技术...,6-8千/月,11-26
83,高新朝九晚五点半周末双休催收专员,四川省强聘企业管理咨询有限公司,成都,3-4.5千/月,11-26
84,电话催收专员,深圳通联金融网络科技服务有限公司...,武汉-洪山区,4-7千/月,11-26
85,客户信用客服+五险一金+外企,捷信消费金融有限公司,天津-和平区,4-6千/月,11-26
86,中央商务区 双休-银行信用卡催收,上海一诺银华服务外包有限公司,青岛-市北区,6-8千/月,11-26
87,兴业银行五险一金催收客服文员六千+,合肥雅诚电子科技有限公司,合肥-滨湖新区,5-7千/月,11-26
88,账户提醒催收专员 6000以上 双休,湖北知了网络科技有限公司,武汉-江夏区,0.8-1万/月,11-26
89,保底4400朝九晚六/逾期提醒客服C,深圳智狐商业投资策划有限公司,深圳-福田区,0.6-1.3万/月,11-26
90,交行催收专员/催缴客服八千（逾期三天）,安徽子建信息技术有限公司,合肥-蜀山区,6-8千/月,11-26
91,金融港电话催收不加班五险一金,武汉中创华电科技有限公司,武汉-洪山区,6-8千/月,11-26
92,M1-M3内催客服（月休八天+年底双薪+五险一金）,传众网络科技,武汉-江夏区,0.8-1万/月,11-26
93,，m1到m12公司内催/电话催收/月休8天,武汉市新鸿信企业管理咨询有限公司...,武汉-洪山区,0.8-1万/月,11-26
94,电话催收，内催，保底4200+，朝九晚六，金融港软件园,武汉市优杰创信息科技有限公司,武汉-东湖新技...,0.8-1万/月,11-26
95,邀约客服专员,苏州晨胜康企业管理服务有限公司,异地招聘,1-1.5万/月,11-26
96,金融港/电话催收专员 +无责任底薪（五休二）,武汉市精英网络科技有限公司,武汉-江夏区,6-8千/月,11-26
