,title,company,place,salary,publish_time
0,催收专员,交通银行股份有限公司太平洋信用卡...,佛山,0.6-1.5万/月,11-26
1,电话催收专员（双休+住宿）,易迅（深圳）客户服务有限公司,深圳-福田区,0.5-1万/月,11-26
2,纯接听客服/催收专员 底薪5000,武汉市优杰创信息科技有限公司,武汉-洪山区,0.8-1万/月,11-26
3,高薪直聘风控催收专员,青岛联信商务咨询有限公司上海分公...,上海-浦东新区,1.5-2万/月,11-26
4,高级贷款催收专员6k+,律正投资管理（上海）有限公司武汉...,武汉,0.8-1万/月,11-26
5,催收专员,武汉市普罗米斯小额贷款有限公司,武汉,3.7-4.2千/月,11-26
6,电话催收专员,广东德律信用管理股份有限公司,广州,6-8千/月,11-26
7,蚂蚁花呗信用卡催收专员+龙岗,深圳市通联客服中心有限公司,深圳-龙岗区,0.6-1.2万/月,11-26
8,合规信用卡催收专员（非销售岗）,信达利（福州）企业管理咨询有限公...,重庆-江北区,0.4-1万/月,11-26
9,公积金800+6险2金+1万起催收专员银行客服专员销售代表,安徽荣耀前程信息科技有限公司,合肥-滨湖新区,4.4-8.9千/月,11-26
10,电话催收专员,上海欣融汇金融信息服务有限公司,上海-虹口区,0.3-1.5万/月,11-26
11,催收专员(无责保底3000+社保+单双休+带薪年假）,中融国信（北京）资产管理有限公司...,郑州,0.7-1.1万/月,11-26
12,催收专员（无责底薪+高提成+做五休二）,湖北赫诚律师事务所,武汉-武昌区,1-1.5万/月,11-26
13,电话催收专员（五险一金）,CBC（北京）信用管理有限公司上海...,上海-宝山区,6-8千/月,11-26
14,电话催收专员,上海佩琪信息技术有限公司,广州-海珠区,0.6-1.2万/月,11-26
15,信用卡催收专员,深圳万融盛世企业管理咨询有限公司...,宁波-江北区,0.6-1.5万/月,11-26
16,5000保底+M1逾期催收专员,深圳市华旺欣实业有限公司,深圳-龙华新区,0.6-1.2万/月,11-26
17,XD-5K+电话催收专员+五险一金,珠海信盟科技发展有限公司,重庆-渝北区,4-6千/月,11-26
18,催收专员,上海你我贷互联网金融信息服务有限...,上海-浦东新区,1-1.5万/月,11-26
19,催收专员底薪5000,上海梵梦骊教育科技有限公司,上海-宝山区,0.8-1万/月,11-26
20,高薪聘请电话催收专员,成都元正商务咨询有限公司,武汉-洪山区,0.8-1万/月,11-26
21,福田区/底薪4400起银行电话催收专员,深圳市都给力数码科技有限公司,深圳-福田区,0.8-1万/月,11-26
22,电话客服催收专员,深圳市深巨元信用咨询有限公司,常州-武进区,0.6-1万/月,11-26
23,电话催收专员 做五休二+餐费补助+月薪8000起,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,11-26
24,物业费催收专员,天津法诚法律咨询有限公司苏州分公...,苏州-姑苏区,4.5-6千/月,11-26
25,信用卡逾期催收专员,广东浩传管理服务有限公司武汉分公...,武汉,0.5-1万/月,11-26
26,带薪培训不销售信用卡催收专员,律正投资管理（上海）有限公司,南京-玄武区,0.8-1万/月,11-26
27,急聘 信用卡电话催收专员,北京互连众信科技有限公司,重庆-渝北区,0.8-1万/月,11-26
28,高薪催收专员,湖南微金塾网络科技有限公司,长沙-芙蓉区,6-8千/月,11-26
29,催收专员,广东浩传管理服务有限公司深圳分公...,深圳-宝安区,6-8千/月,11-26
30,催收专员,中安信业创业投资有限公司,深圳-龙岗区,6-8千/月,11-26
31,银行催收专员（五险一金）,上海迪扬信息科技有限公司,上海-静安区,6-8千/月,11-26
32,银行催收专员月薪5000+/入职五险一金（新职场扩招）,江苏勇乾信息科技有限公司成都分公...,成都-成华区,0.5-1万/月,11-26
33,电话催收专员,江苏冉拓企业管理有限公司,南京-玄武区,2-4万/月,11-26
34,催收专员（长安）(J21800),捷信消费金融有限公司,西安-长安区,1-1.5万/月,11-26
35,岳麓区催收专员5000+住宿,长沙川谷信息科技有限公司,长沙-岳麓区,6-8千/月,11-26
36,催收专员（3000+双休+五险）,苏州宇信企业管理服务有限公司河南...,郑州-二七区,6-8千/月,11-26
37,高薪聘请电话催收专员,深圳市融关资产管理有限公司武汉分...,武汉-江夏区,0.6-1.2万/月,11-26
38,催收专员（双休+五险一金）,联信集团广州分公司,广州-天河区,0.8-1万/月,11-26
39,催收专员,深圳市爱租机科技有限公司,深圳-南山区,0.6-1.2万/月,11-26
40,电话催收专员,陕西正泽投资咨询有限公司,西安-新城区,0.4-1万/月,11-26
41,催收专员,深圳市汇诚征信管理顾问有限公司,广州-越秀区,0.3-1万/月,11-26
42,电话催收专员,深圳市远晨科技有限公司广州分公司...,广州-天河区,0.8-1万/月,11-26
43,电话催收专员,陕西铭鼎企业管理咨询有限公司,西安,4-8千/月,11-26
44,住宿+保底4.4K+银行咨询热线客服/风控催收专员,深圳市付通云数据科技服务有限公司...,深圳-福田区,0.8-1.6万/月,11-26
45,催收专员,成都邦克岚企业管理有限公司,成都-高新区,4.5-6千/月,11-26
46,法务催收专员,湖北云思鹤科技有限公司,武汉-洪山区,6-8千/月,11-26
47,电话催收专员(急招+高薪+五险）,沈阳俊采人力资源有限公司,沈阳-大东区,6-8千/月,11-26
48,催收专员（南宁江南）,深圳市中安信业创业投资有限公司西...,南宁,3-5千/月,11-26
