,title,company,place,salary,publish_time
0,大数据开发工程师,上海富欣智能交通控制有限公司,异地招聘,1.5-2万/月,03-31
1,PHM工程师,唐智科技湖南发展有限公司,长沙-雨花区,0.5-1万/月,03-31
2,Python数据分析课程老师,指南者教育,常州,12-18万/年,03-31
3,临床医学统计专员,普洛药业股份有限公司,异地招聘,0.8-1万/月,03-31
4,安居客房产估价专员,安居客,苏州-姑苏区,7-9千/月,03-31
5,大数据分析工程师,浙江源态环保科技服务有限公司,杭州-江干区,1.6-2万/月,03-31
6,生物信息高级工程师（蛋白芯片分析方向）,广州复能基因有限公司,广州-黄埔区,0.6-1.2万/月,03-31
7,分析专员,广东腾飞基因科技股份有限公司,中山,3.5-5.5千/月,03-31
8,销售业务担当无责底薪4.5k,四川凯奇优华环保科技有限公司,成都-青羊区,6-8千/月,03-31
9,Java开发工程师,上海固买供应链管理有限公司,上海-青浦区,0.7-1万/月,03-31
10,大数据算法工程师（校招）,成都极米科技股份有限公司,成都,0.9-1.8万/月,03-31
11,算法科学家,成都臻识科技发展有限公司,成都-高新区,36-56万/年,03-31
12,数据产品经理,广东触电传媒科技有限公司,广州-越秀区,1.3-2.6万/月,03-31
13,金融合伙人（证券/保险/基金/信托）,清远永泰投资发展有限公司,清远,1-1.5万/月,03-31
14,初级算法工程师（优秀毕业生）,大连凤凰树网络科技有限公司,大连-高新园区,3-4.5千/月,03-31
15,推广专员,甘源食品股份有限公司,成都,3-4.5千/月,03-31
16,急淘宝运营/天猫运营/京东运营包吃包住,东莞市华道节能科技有限公司,东莞-虎门镇,7-9千/月,03-31
17,深度学习算法工程师,沃太能源南通有限公司,南通,1-2万/月,03-31
18,运营经理,杭州掌烁信息科技有限公司,杭州-滨江区,0.8-1万/月,03-31
19,生物信息高级工程师（蛋白芯片分析方向）,广州易锦生物技术有限公司,广州-黄埔区,0.6-1.2万/月,03-31
20,Java开发主管,广东前行科技有限公司,东莞-东城区,0.8-1.5万/月,03-31
21,ETL工程师 191012,上海占方信息科技有限公司,异地招聘,6-8千/月,03-31
22,数据运营专员,星辉游戏,广州-天河区,0.8-1.5万/月,03-31
23,高级风险分析师（数据建模）,亚联财小额贷款,深圳,1.5-5万/月,03-31
24,客户服务高级专员,立邦工业涂料（上海）有限公司,上海,0.8-1.2万/月,03-31
25,数据分析工程师,四川长虹电器股份有限公司,成都-高新区,18-25万/年,03-31
26,数据分析,珠海达人网络科技有限公司,广州-天河区,1.5-2.5万/月,03-31
27,数据架构师,珠海青枪互动科技有限公司,广州-天河区,3-4万/月,03-31
28,数据分析经理,深圳罗马仕科技有限公司,深圳-南山区,2-2.5万/月,03-31
29,BI工程师,成都大数汇聚科技有限公司,异地招聘,1-1.5万/月,03-31
30,高级程序员/架构师,前海爱讯科技（深圳）有限公司广州...,广州-海珠区,2.5-3.5万/月,03-31
31,人工智能训练师,华人运通控股（上海）有限公司,上海,2-4万/月,03-31
32,算法工程师,深圳市异方科技有限公司,异地招聘,0.8-1.5万/月,03-31
33,猎头经理/猎头总监/猎头合伙人,华夏经纬（广州）数据科技股份有限...,广州-番禺区,1.5-2万/月,03-31
34,主编助理/网站运营助理（储干）,广州途畅信息科技有限公司,广州-天河区,3.5-6千/月,03-31
35,资深项目经理,广州海颐软件有限公司,广州,1.5-1.8万/月,03-31
36,大数据软件工程师,上海华兴数字科技有限公司,上海-浦东新区,2-4万/月,03-31
37,C#开发工程师,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,03-31
38,数据仓库开发工程师,深圳新锐居品科技有限公司,异地招聘,1-2万/月,03-31
39,NLP 算法工程师,北京沃丰时代数据科技有限公司,北京,,03-31
40,期货高频量化策略师,量桥投资管理（上海）有限公司,上海-浦东新区,1.5-7万/月,03-31
41,数据分析师,丽人丽妆,上海-徐汇区,0.8-1万/月,03-31
42,数据分析师,江苏梦嘉控股集团有限公司,苏州-工业园区,0.6-1万/月,03-31
43,政策研究工程师,广东优赛科技有限公司,东莞-松山湖区,6-8千/月,03-31
44,数据研究员,西安丽韵艺露信息科技有限公司,西安-碑林区,6-8千/月,03-31
45,1006（高级）行业研究员,现代咨询,南京,10-12万/年,03-31
46,风险政策高级经理/经理,上海海蕴科技有限公司,上海-闵行区,1.5-2万/月,03-31
47,算法工程师（地点：芜湖or合肥）,安徽瑞信软件有限公司,异地招聘,0.8-1.5万/月,03-31
48,房产销售 500家门店就近分,辽宁贝壳房地产经纪有限公司,沈阳,6-8千/月,03-31
49,项目实施工程师,佰聆数据股份有限公司,重庆-江北区,0.6-1.1万/月,03-31
50,房产经纪人,洛阳通联房地产经纪有限公司,洛阳,0.8-1万/月,03-31
51,大数据开发-QY1001,太极计算机股份有限公司,杭州-西湖区,1.2-2万/月,03-31
52,大数据开发工程师,绿之能科技,西安-碑林区,4.5-6千/月,03-31
53,产品经理/技术支持工程师（金融科技事业部）,四川合力金控投资管理有限公司,成都-青羊区,20-30万/年,03-31
54,人工智能研发工程师,云南云电同方科技有限公司,昆明-官渡区,1-1.5万/月,03-31
55,系统架构师,山东诺蓝信息科技有限公司,临沂,0.8-1万/月,03-31
56,编导（抖音/快手）,浙江布噜文化传媒有限公司,杭州-萧山区,0.6-1.5万/月,03-31
57,数据分析师,中山市艾文凯迪网络科技有限公司,中山,5-8千/月,03-31
58,亚马逊CPC专员/广告投放专员,润讯科（深圳）贸易有限公司,深圳-龙华新区,0.7-1万/月,03-31
59,人工智能算法研究员,歌尔股份有限公司,北京-海淀区,1.5-2万/月,03-31
60,用户运营经理,深圳市便易通科技有限公司,深圳,1-2万/月,03-31
61,数据分析师,常州市维邦网络软件有限公司,常州,5-8千/月,03-31
62,盘龙城/销售专员/实习生,链家房地产事业部,武汉-黄陂区,0.8-1万/月,03-31
63,数据分析师,昆明百盛,昆明,6-8千/月,03-31
64,游戏数据分析师,广州深海软件股份有限公司,广州-天河区,1.2-1.8万/月,03-31
65,产品经理,深圳市伊起租科技有限公司,深圳-福田区,1-1.8万/月,03-31
66,CRM主管,广州本空服饰有限公司,广州-海珠区,0.8-1.2万/月,03-31
67,实习生（工作地点：海南）,南京云创大数据科技股份有限公司,海南省,2-3千/月,03-31
68,算法工程师/运维/双休,上海露善文化传播有限公司,上海-闵行区,6-8千/月,03-31
69,电商项目经理,杭州久适健康科技有限公司,杭州-西湖区,1.4-1.6万/月,03-31
